arfima
3632
3645
3672
3703
3758
3818
3842
3862
3907
3915
3938
3923
3922
3922
3961
3931
4027
4042
4065
4073
4150
4233
4273
4344
4440
4476
4471
4495
4475
4492
4442
4430
4362
4403
4472
4532
4621
4656
4677
4721
4792
4852
4924
4922
4959
5108
5155
5227
5237
5245
5280
5297
5310
5190
5179
5254
5330
5307
5342
5286
5206
5237
5213
5222
5255
5366
5448
5541
5641
5708
5750
5787
5818
5870
5955
5997
6038
6043
6098
6126
6157
6221
6266
6372
6424
6485
6505
6581
6668
6691
6727
6749
6830
6853
6838
6805
6747
6767
6781
6821
6883
6938
6980
7068
7066
7097
7119
7213
7278
7369
7403
7495
7519
7531
7573
7645
7703
7820
7854
7948
8024
8149
8233
8290
8432
8476
8560
8732
8844
8911
9031
9205
9273
9422
9439
9483
9463
9436
9406
9538
9659
9678
